Sector,Stock,Model,Volatility
Real Estate,PLD,CNN_LSTM_REG,8.701671979458617
Franchise,MCD,CNN_LSTM_CLASS,8.68029322524248
Real Estate,EQR,CNN_LSTM_REG,8.635513881640165
Cloud Computing,IBM,[5]SVC,8.597467511950692
Telecommunication,VZ,XGB,8.287722704039247
Real Estate,SPG,CNN_LSTM_CLASS,7.998370072053669
Retail,BBY,CNN_LSTM_REG,7.917173016388399
Retail,COST,CNN_LSTM_REG,7.8972291705020545
Social Media,SNAP,[5]SVC,7.855956338982553
Semiconductors,QCOM,CNN_LSTM_REG,7.6009708026578515
Semiconductors,INTC,[5]SVC,7.554933109281266
Real Estate,HST,CNN_LSTM_REG,7.481986940073376
Entertainment,DIS,CNN_LSTM_REG,7.2042735333173695
Franchise,SBUX,CNN_LSTM_REG,6.946042038456145
Telecommunication,VZ,CNN_LSTM_CLASS,6.665372850643483
Real Estate,AVB,CNN_LSTM_REG,6.64876143138168
Franchise,MCD,CNN_LSTM_REG,6.564508105461267
Cloud Computing,IBM,XGB,6.552257698868456
Airline,LMT,CNN_LSTM_REG,6.5219245625812015
Telecommunication,VZ,CNN_LSTM_REG,6.520802243954489
Cloud Computing,IBM,CAT,6.406164813603192
Semiconductors,INTC,CNN_LSTM_REG,6.251799740874623
Retail,TGT,CNN_LSTM_REG,6.191640678020187
Retail,WMT,CNN_LSTM_REG,6.033196262583966
Franchise,DPZ,CNN_LSTM_REG,5.85785146700766
Cloud Computing,IBM,CNN_LSTM_REG,5.752190059115786
Airline,GD,CNN_LSTM_REG,5.337011826677475
Energy & Resources,DD,CNN_LSTM_REG,4.64408892085002
Telecommunication,T,CNN_LSTM_REG,4.365727997983951
Real Estate,SPG,CNN_LSTM_REG,3.5565372404710094
Social Media,SNAP,CNN_LSTM_REG,0.9475230867899735
